orgao,uasg,modalidade,objeto,data,valor,fornecedor,cnpj,categoria,keyword_found,link,status
Órgão Federal (extrair do contexto),UASG não informada,Modalidade não informada,Contratação relacionada a software educacional,2025-09-27,Valor não informado,Fornecedor não identificado,CNPJ não informado,EdTech geral,software educacional,https://portaldatransparencia.gov.br/contratos/consulta?buscar=software%20educacional,N/A
Órgão Federal (extrair do contexto),UASG não informada,Modalidade não informada,Contratação relacionada a software educacional,2025-09-27,Valor não informado,Busca Livre,CNPJ não informado,EdTech geral,software educacional,https://portaldatransparencia.gov.br/contratos/consulta?buscar=software%20educacional,N/A
Órgão Federal (extrair do contexto),UASG não informada,Modalidade não informada,Contratação relacionada a plataforma ensino,2025-09-27,Valor não informado,Fornecedor não identificado,CNPJ não informado,EdTech geral,plataforma ensino,https://portaldatransparencia.gov.br/contratos/consulta?buscar=plataforma%20ensino,N/A
Órgão Federal (extrair do contexto),UASG não informada,Modalidade não informada,Contratação relacionada a plataforma ensino,2025-09-27,Valor não informado,Busca Livre,CNPJ não informado,EdTech geral,plataforma ensino,https://portaldatransparencia.gov.br/contratos/consulta?buscar=plataforma%20ensino,N/A
Órgão Federal (extrair do contexto),UASG não informada,Modalidade não informada,Contratação relacionada a sistema ensino,2025-09-27,Valor não informado,Fornecedor não identificado,CNPJ não informado,EdTech geral,sistema ensino,https://portaldatransparencia.gov.br/contratos/consulta?buscar=sistema%20ensino,N/A
Órgão Federal (extrair do contexto),UASG não informada,Modalidade não informada,Contratação relacionada a sistema ensino,2025-09-27,Valor não informado,Busca Livre,CNPJ não informado,EdTech geral,sistema ensino,https://portaldatransparencia.gov.br/contratos/consulta?buscar=sistema%20ensino,N/A
Órgão Federal (extrair do contexto),UASG não informada,Modalidade não informada,Contratação relacionada a tecnologia educacional,2025-09-27,Valor não informado,Fornecedor não identificado,CNPJ não informado,EdTech geral,tecnologia educacional,https://portaldatransparencia.gov.br/contratos/consulta?buscar=tecnologia%20educacional,N/A
Órgão Federal (extrair do contexto),UASG não informada,Modalidade não informada,Contratação relacionada a tecnologia educacional,2025-09-27,Valor não informado,Busca Livre,CNPJ não informado,EdTech geral,tecnologia educacional,https://portaldatransparencia.gov.br/contratos/consulta?buscar=tecnologia%20educacional,N/A
Órgão Federal (extrair do contexto),UASG não informada,Modalidade não informada,Contratação relacionada a e-learning,2025-09-27,Valor não informado,Fornecedor não identificado,CNPJ não informado,EdTech geral,e-learning,https://portaldatransparencia.gov.br/contratos/consulta?buscar=e-learning,N/A
Órgão Federal (extrair do contexto),UASG não informada,Modalidade não informada,Contratação relacionada a e-learning,2025-09-27,Valor não informado,Busca Livre,CNPJ não informado,EdTech geral,e-learning,https://portaldatransparencia.gov.br/contratos/consulta?buscar=e-learning,N/A
